type	latitude	longitude	altitude	name	desc
T	46.065720000	-123.692540000	280.6		
T	46.065710000	-123.692540000	280.5		
T	46.065370000	-123.691900000	295.3		
T	46.064910000	-123.690700000	322.4		
T	46.064660000	-123.690260000	322.0		
T	46.064400000	-123.689980000	320.8		
T	46.064110000	-123.689790000	321.6		
T	46.063870000	-123.689730000	317.3		
T	46.063700000	-123.689660000	314.9		
T	46.063590000	-123.689590000	313.0		
T	46.063470000	-123.689480000	312.5		
T	46.063460000	-123.689480000	312.0		
T	46.063260000	-123.689220000	309.9		
T	46.063000000	-123.688720000	310.3		
T	46.063000000	-123.688710000	310.7		
T	46.062390000	-123.687360000	307.7		
T	46.062350000	-123.687230000	304.7		
T	46.062330000	-123.686980000	304.2		
T	46.062350000	-123.686920000	303.9		
T	46.062440000	-123.686770000	317.2		
T	46.062480000	-123.686730000	322.6		
T	46.062780000	-123.686230000	328.5		
T	46.062850000	-123.686050000	327.4		
T	46.062960000	-123.685550000	320.1		
T	46.063380000	-123.682690000	337.3		
T	46.063790000	-123.681320000	343.2		
T	46.063800000	-123.681070000	344.5		
T	46.063780000	-123.680940000	344.4		
T	46.063700000	-123.680760000	343.6		
T	46.063570000	-123.680610000	343.5		
T	46.063490000	-123.680570000	343.0		
T	46.063310000	-123.680570000	344.3		
T	46.063220000	-123.680600000	344.7		
T	46.061990000	-123.681350000	352.7		
T	46.061460000	-123.681620000	358.4		
T	46.060960000	-123.681810000	382.3		
T	46.060850000	-123.681820000	383.5		
T	46.060630000	-123.681780000	384.3		
T	46.060600000	-123.681760000	383.5		
T	46.060490000	-123.681630000	380.6		
T	46.060440000	-123.681440000	378.5		
T	46.060440000	-123.681300000	377.8		
T	46.060500000	-123.681090000	382.1		
T	46.060660000	-123.680750000	397.1		
T	46.060840000	-123.680490000	399.6		
T	46.060890000	-123.680360000	399.4		
T	46.060940000	-123.680110000	396.8		
T	46.060930000	-123.679850000	394.4		
T	46.060380000	-123.677840000	385.6		
T	46.060270000	-123.677270000	392.2		
T	46.060280000	-123.676910000	399.0		
T	46.060290000	-123.676880000	400.4		
T	46.060290000	-123.676500000	405.7		
T	46.060150000	-123.675610000	397.7		
T	46.060000000	-123.675180000	396.3		
T	46.059850000	-123.674960000	392.3		
T	46.059680000	-123.674780000	390.8		
T	46.059510000	-123.674640000	389.3		
T	46.057790000	-123.673560000	384.8		
T	46.057610000	-123.673410000	384.5		
T	46.057350000	-123.673120000	384.5		
T	46.056340000	-123.671310000	386.6		
T	46.056330000	-123.671310000	386.6		
T	46.056270000	-123.671230000	387.3		
T	46.056120000	-123.671100000	389.3		
T	46.056020000	-123.671040000	389.2		
T	46.055770000	-123.670950000	387.0		
T	46.055320000	-123.670840000	386.4		
T	46.055310000	-123.670830000	386.4		
T	46.055170000	-123.670800000	385.6		
